Borough,Block,Lot,BIN, Building,Agency,2010 Score *,2010Source EUI (kBtu/ft²)*,2010 GHG Emissions Intensity (kgCO2e/ft²)*,2014 Score *,2014 Source EUI (kBtu/ft²)*,2014 GHG Emissions Intensity (kgCO2e/ft²)*
1,93,1,1001280,ACS Administrative Site (Leased),ACS,57,239,6.2,76,219.5,5.8
1,350,8,1004240,Escuela Hispana Montessori #2 (Leased),ACS,Not Available,162.5,5.1,Not Available,151,5.3
1,479,1,1007156,Chinese Community Concern Parents,ACS,Not Available,289.4,8.6,Not Available,294.1,9.6
1,2014,36,1060189,Lutheran Social Service of NY #11 (Leased),ACS,Not Available,237.1,7.5,Not Available,220,7.1
1,2032,17,1060503,Lutheran Social Service of NY #13 (Leased),ACS,Not Available,193.6,5.1,Not Available,208.5,5.5
1,2076,41,1061917,Lutheran Social Service of NY #14 (Leased),ACS,Not Available,167.4,4.9,Not Available,142.7,4.1
1,2108,23,1062503,United Federation of Black Community Organization (Leased),ACS,Not Available,173.1,4.6,Not Available,185,5
1,2111,58,1062652,Rena Day Care Center (Leased),ACS,Not Available,151.6,4,Not Available,147.8,4
2,2276,1,2000133,Horizon Juvenile Center,ACS,Not Available,154.4,4.7,Not Available,144.4,4.5
2,2368,39,2001228,South East Bronx Neighborhood Center Inc. (Leased),ACS,Not Available,138.8,3.6,Not Available,148.3,3.9
2,2383,12,2001505,Fulton Day Care Center (Leased),ACS,Not Available,180.6,4.9,Not Available,176.9,4.9
2,2411,41,2001876,Philip Michaels Day Care Center (Leased),ACS,Not Available,200.1,5.2,Not Available,206.5,5.5
2,2420,40,2001910,Children Pride Early Learning Center,ACS,Not Available,272.1,9.2,Not Available,224.6,8
2,2516,51,2003301,Highbridge Advisory SRCC (Leased),ACS,Not Available,178.9,4.7,Not Available,186,5
2,2696,30,2005346,Lutheran Social Services of NY (Leased),ACS,Not Available,106.9,2.8,Not Available,164.5,4.3
2,2705,9,2005481,La Peninsula Head Start Program,ACS,Not Available,Not Available,Not Available,Not Available,149,3.9
2,2738,35,2005938,Bridges Juvenile Center Intake and Admissions,ACS,Not Available,28.7,0.8,Not Available,8.1,0.2
2,2837,11,2008017,Mid Bronx Early Childhood Center Inc. (Leased),ACS,Not Available,203.3,6.5,Not Available,210.9,6.7
2,2861,129,2109470,Babove Worldwide Institute Inc.,ACS,Not Available,160.7,5.1,Not Available,123.2,4.3
2,2877,522,2008966,Lutheran Social Services of NY (Leased),ACS,Not Available,272.9,7.2,Not Available,211.3,5.6
2,2888,21,2009316,Labor Bathgate Day Care Center (Leased),ACS,Not Available,236.1,6.1,Not Available,184,4.9
2,2939,90,2009866,East Tremont-Crotona Day Care Center (Leased),ACS,Not Available,150.2,5.1,Not Available,128.7,4.5
2,3044,24,2011440,Trabajamos Community Head Start Inc. (Leased),ACS,Not Available,260.8,6.8,Not Available,256.9,6.8
2,3089,24,2012517,Belmont Community Day Care Center (Leased),ACS,Not Available,204,5.3,Not Available,207.7,5.5
2,3125,1,2013174,Cardinal Day Care Center #2 (Leased),ACS,Not Available,108.1,2.8,Not Available,118.7,3.1
2,3178,32,2013953,Morris Day Care/Senior Center/Steven Soles Day Care Center (Leased),ACS,Not Available,195.2,5.2,Not Available,192.7,5.2
2,3217,60,2014731,University Heights Day Care Center (Leased),ACS,Not Available,62.2,1.6,Not Available,47.3,1.2
2,3732,39,2023653,H.G. Birch Watson Day Care Center (Leased),ACS,Not Available,131.4,3.5,Not Available,171.4,6.7
2,3736,1,2023714,Tremont Crotona Day Care Center (Leased),ACS,Not Available,126.4,3.3,Not Available,172.6,4.6
2,3748,15,2024083,Bronxdale Tenants League DDC Inc. (Leased),ACS,Not Available,103.3,2.8,Not Available,126.8,3.5
2,4101,1,2044743,ACS Bronx Field Office (Leased),ACS,7,316.2,8.9,21,243.1,6.9
2,4651,44,2057523,Williamsbridge NAACP Early EEC (Leased),ACS,Not Available,146.1,4,Not Available,122.2,3.4
2,4829,6,2063070,North Bronx NCNW Community Development Center (Leased),ACS,Not Available,153.8,4,Not Available,163.7,4.3
2,5713,87,2087522,Kingsbridge (Leased),ACS,100,0,0,84,102.7,3.5
3,184,25,3000937,Strong Place for Hope DCC (Leased),ACS,Not Available,298.4,9,Not Available,256.2,7.5
3,391,56,3006144,Sunset Bay Community Services Inc. (Leased),ACS,Not Available,118.5,3.2,Not Available,126.8,3.4
3,552,5,3008517,P.A.L. Miccio Day Care Center (Leased),ACS,Not Available,194.9,5.1,Not Available,191.3,5.1
3,947,54,3019440,Park Slope North Child Development Center Inc. (Leased),ACS,Not Available,209.8,7.2,Not Available,207.3,7.4
